,feelings,emotion,class_label
0,go feeling hopeless damned hopeful around someone cares awake,sadness,0
1,im grabbing minute post feel greedy wrong,anger,1
2,ever feeling nostalgic fireplace know still property,love,4
3,feeling grouchy,anger,1
4,ive feeling little burdened lately wasnt sure,sadness,0
5,ive taking milligrams times recommended amount ive fallen asleep lot faster also feel like funny,surprise,3
6,feel confused life teenager jaded year old man,fear,2
7,petronas years feel petronas performed well made huge profit,joy,5
8,feel romantic,love,4
9,feel like make suffering seeing mean something,sadness,0
10,feel running divine experience expect type spiritual encounter,joy,5
11,think easiest time year feel dissatisfied,anger,1
12,feel low energy thirsty,sadness,0
13,immense sympathy general point possible proto writer trying find time write corners life sign agent let alone publishing contract feels little precious,joy,5
14,feel reassured anxiety side,joy,5
15,didnt really feel embarrassed,sadness,0
16,feel pretty pathetic time,sadness,0
17,started feeling sentimental dolls child began collection vintage barbie dolls sixties,sadness,0
18,feel compromised skeptical value every unit work put,fear,2
19,feel irritated rejected without anyone anything saying anything,anger,1
20,feeling completely overwhelmed two strategies help feel grounded pour heart journal form letter god end list five things grateful,fear,2
21,feeling amused delighted,joy,5
22,able help chai lifeline support encouragement great feeling glad able help,joy,5
23,already feel like fucked though dont usually eat morning,anger,1
24,still love wish best longer tolerate effect bm lives fact turned bitter angry person always particularly kind people around feeling stressed,sadness,0
25,feel inhibited someone elses kitchen like im painting someone elses picture,sadness,0
26,become overwhelmed feel defeated,sadness,0
27,feel kinda appalled feels like needs explain wide lenghth body measures etc pp,anger,1
28,feel superior dead chicken grieving child,joy,5
29,get giddy feeling elegant perfectly fitted pencil skirt,joy,5
30,remember feeling acutely distressed days,fear,2
31,seen heard read past couple days left feeling impressed companies,surprise,3
32,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,anger,1
33,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,joy,5
34,sure would make feel content anything,joy,5
35,feeling need creative,joy,5
36,however want know something someone causing feel less splendid self step away,joy,5
37,feel bit rude writing elderly gentleman ask gifts feel bit greedy christmas mild greed,anger,1
38,need need someone need protected feel safe small find season words,joy,5
39,plan share everyday life stories traveling adventures inspirations handmade creations hope also feel inspired,joy,5
40,already christmas trees got two feeling festive sure spurring get started book,joy,5
41,ive worn little concealer days im feeling brave dont want pale perfect,joy,5
42,feel strongly passionate jerk decides poke make fun us,joy,5
43,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,sadness,0
44,feeling listless need new things something different,sadness,0
45,lost special mind worry still sane wanted feel felt reading book know many times said sam special guarantee many times used paragraph tell special,joy,5
46,let go sad feeling want accepted first home mine,love,4
47,boat trip denmark,joy,5
48,stopped feeling cold began feeling hot,anger,1
49,need feel dough make sure perfect,joy,5
50,found feeling little discouraged morning,sadness,0
51,feel selfish spoiled,anger,1
52,stymied little bit wrote feeling unsure might go somewhere story unintended,fear,2
53,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skins scissor sisters valentine sun fed kayle daddy gerling awake unkind u,joy,5
54,feel know basically like fake realm science fiction,sadness,0
55,hate living dads roof gives excuse asshole hes providing live think feels needs make feel unwelcome possible ill leave,sadness,0
56,keep feeling pleasantly surprised supportiveness also ease new situations,surprise,3
57,feeling anymore vigorous sexual activity coming yes misspelt cumming days parts begin fall,joy,5
58,feel mom graceful warm loving smile rob time nurture heal,joy,5
59,feel talk brother law extremely popular one think stiff,joy,5
60,ate could feel gentle tingle throughout almost feeling healing taking place cellular level,love,4
61,feel like pressured young beautiful thin depending trend girls rejuvenated butt implants,fear,2
62,began several times week feeling tortured hallucinations moving people figures sounds vibrations,fear,2
63,nearly finished week detox feel amazing,surprise,3
64,feel selfish read back former posts never asked prayers others never considered may others deserve prayers answered,anger,1
65,know pain parents feel enraged child becomes violent,anger,1
66,roller coaster emotions supposed feelings something unpleasant coming,sadness,0
67,suppose truth needs shared havent feeling faithful lately ive dwelled doubt uncertainty faith,love,4
68,feeling brave bought clearly makeup,joy,5
69,feeling miserable c also proudest mum earth,sadness,0
70,figure family loves us matter around anyone else feel embarrassed michelle goes ballistic,sadness,0
71,necessarily think f bombs sex necessary stories feel reassured see print journals,joy,5
72,feel ovaries aching talking like put,sadness,0
73,feel like much chris mostly took many pictures unimportant stuff,sadness,0
74,im tired book ready finding given unsuitable images feeling blamed result sit well,sadness,0
75,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future briefs,joy,5
76,think feelings one nay important things,joy,5
77,feel completely honored influence young talented fully alive beautiful girl woman,joy,5
78,feel angered firey,anger,1
79,feel like miserable piece garbage,sadness,0
80,feel like need make list leanne would appalled thought dont miss anything,anger,1
81,drove dannika school feeling little bit rushed greeted turned corner,anger,1
82,remember feeling hellip furious shooter,anger,1
83,feel happy excited since learned many things,joy,5
84,feel shows around show horses people trusting relaxed show horses safe quiet handled frequently,joy,5
85,couple things left make start december done feeling smug,joy,5
86,think u could make feel realize everything ok,joy,5
87,feel worthless times struggling finding work,sadness,0
88,able lay bed dark feel terrified least,fear,2
89,ready meet mom airport feel ever supportive arms around,love,4
90,im feeling bitter today mood strange entire day guess,anger,1
91,mums brother passed away involved car accident bringing present passed form five exams flying colours,sadness,0
92,letting go animosity towards anyone feel wronged,anger,1
93,talk dogs feel understand words read emotions know supportive decided go home,love,4
94,feel like throwing away shitty piece shit paper,sadness,0
